feature,importance
num__day_of_week,0.08421761973528819
cat__poutcome_success,0.07319566322453248
num__age,0.07008960537566326
num__campaign,0.05287250228290153
num__balance,0.05017310820074001
cat__contact_nan,0.05012276798189856
cat__poutcome_nan,0.03915526292830945
cat__contact_cellular,0.03292820929830716
cat__housing_no,0.03084380157805877
cat__housing_yes,0.028839270182042673
cat__month_aug,0.022256559812330382
cat__month_may,0.02013086193971402
cat__month_apr,0.019667700008613488
num__pdays,0.01947358721944438
cat__month_oct,0.018885704159078122
